来源,标题,开始时间,结束时间,链接
﻿货物,内蒙古平庄能源股份有限公司物资供应分公司重轨项目采购招标公告,2019-04-22 09:00,2019-04-29 16:00,http://www.cgdcbidding.com:80/ggsb/28244.jhtml
﻿货物,国电龙源电气有限公司2019年度三代2.0MW变流器生产用料功率单元及低穿组件（标段一）招标公告,2019-04-23 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28250.jhtml
﻿货物,国电广水中华山二期风电场工程塔筒设备及附件招标公告,2019-04-23 09:00,2019-04-29 16:00,http://www.cgdcbidding.com:80/ggsb/28251.jhtml
﻿货物,国电联合动力技术有限公司海上风电机组研发项目仿真中心大屏展示系统招标公告,2019-04-22 09:00,2019-04-29 16:00,http://www.cgdcbidding.com:80/ggsb/28252.jhtml
﻿货物,固安华电天仁控制设备有限公司2019年下半年机箱及散件【二次挂网】招标公告,2019-04-22 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28174.jhtml
﻿货物,山东武城陈公堤（50.0MW）风电项目电力电缆采购项目招标公告,2019-04-20 09:00,2019-04-26 16:00,http://www.cgdcbidding.com:80/ggsb/28204.jhtml
﻿货物,国电开远发电有限公司7号炉空预器换热元件等更换及大修招标公告,2019-04-22 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28206.jhtml
﻿货物,国电开远发电有限公司7、8号炉非金属膨胀节、金属膨胀节等更换招标公告,2019-04-22 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28208.jhtml
﻿货物,保定龙源电气有限公司 2019年度变流器电路板生产用料项目电路板芯片等电子材料【二次挂网】招标公告,2019-04-22 10:43,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28218.jhtml
﻿货物,固安华电天仁控制设备有限公司2019年国产超级电容【二次挂网】招标公告,2019-04-22 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28219.jhtml
﻿货物,固安华电天仁控制设备有限公司2019年进口超级电容【二次挂网】招标公告,2019-04-22 09:00,2019-04-30 16:00,http://www.cgdcbidding.com:80/ggsb/28220.jhtml
